p1,p2,p3
2564,1004,2563
1401,1004,2564
710,1401,1625
710,1004,1401
1133,2191,301
301,2191,2133
137,1146,740
1146,137,273
1431,1146,273
1146,1431,2288
992,1664,2200
735,2753,2754
2752,2753,735
79,886,2528
79,823,98
782,426,1764
426,2752,603
426,782,982
1381,79,98
1381,1806,886
79,1381,886
133,1742,387
1742,133,2213
1427,750,2242
750,361,2242
361,750,1796
641,750,1427
1013,66,22
361,168,2242
168,361,2248
2192,2292,5
2192,1017,2292
1772,782,1764
782,1772,1062
1772,1608,1062
1772,1381,675
1806,1772,1764
1381,1772,1806
2292,714,5
714,594,675
1608,1759,2145
1772,1759,1608
594,1759,675
1759,1772,675
2325,1663,2223
1975,2325,2223
154,2156,2426
1663,154,2426
2156,154,2743
2741,2325,2740
2325,2741,1663
2213,1579,1785
1579,1488,1785
1488,1300,2426
1663,1300,2223
1300,1663,2426
1223,1300,920
1300,1223,2223
181,278,982
278,181,89
278,89,2748
566,2747,89
1201,566,89
934,2156,2743
934,1201,2156
1201,934,2745
1742,2321,1017
1017,2321,2292
2321,714,2292
714,2321,594
2556,1561,126
1561,90,126
90,1561,1837
1837,2356,838
69,1324,126
1324,2556,126
1384,1324,69
2788,2787,1644
2788,314,2119
2155,457,1644
457,654,1033
570,1933,948
2473,1933,2386
1933,2473,2190
2232,1058,624
570,1907,725
2232,1907,1058
592,2080,725
2080,592,613
592,588,613
1565,173,760
447,1434,1033
1434,173,1033
2076,1434,624
1294,1895,792
1895,1162,792
1162,1895,428
1752,2461,1552
2461,1294,1552
1155,2461,1752
1815,1987,819
1987,1815,293
1987,69,819
1698,1155,1752
1916,1698,1752
1698,1916,1546
1815,1698,1546
447,2092,1693
1867,2092,447
781,1867,654
1749,161,358
1749,1638,161
1546,2425,146
504,2425,1546
658,2425,504
2425,1507,146
1507,2425,658
1584,1319,1857
1319,1584,1891
1319,1279,1857
1319,1891,1279
161,200,1552
1638,200,161
200,1638,1358
1584,200,1358
4,1507,658
4,955,1414
1507,4,1414
1988,2135,223
1988,1584,1857
1279,1988,1857
2135,1988,1279
1988,200,1584
200,1988,1552
1988,2033,1552
2033,1988,223
2544,1518,2353
2475,1518,789
789,263,623
1518,263,789
2544,263,1518
955,2549,2550
2548,2549,955
1113,1890,955
4,1113,955
1113,4,1166
501,1113,1166
1113,501,1890
1973,1139,1665
711,1799,1001
1669,1651,2241
1651,1669,2495
1669,763,2495
1654,1046,1001
1799,1654,1001
663,1799,863
1344,663,863
621,1029,1340
1029,621,1088
1029,1024,1340
1024,1029,95
1029,1321,95
1321,1029,1088
1386,2169,16
2772,2169,951
16,2169,2772
2169,785,951
785,2169,1386
2769,2770,951
2770,2771,951
2770,2769,1202
2771,2770,1202
1866,440,2151
440,621,2151
621,440,905
2231,621,905
785,2231,951
621,2231,1088
2231,785,1088
2260,2768,2769
2764,2538,2765
715,1721,1665
1783,2773,2772
2773,1783,1643
2771,1783,2772
1783,2771,1202
250,1783,1202
1337,1629,799
1629,658,799
1629,4,658
1553,2776,799
2070,1553,799
1242,2070,1279
1242,1130,375
436,1242,375
1891,1242,1279
1130,1242,1891
2779,1242,436
1242,2779,2070
834,1274,2774
2773,1274,834
1274,1643,2774
1274,2773,1643
1321,2159,2072
903,1321,16
1640,903,16
903,2159,1321
903,1640,523
2159,903,523
1554,936,1424
442,936,1554
709,442,2072
709,936,442
936,709,1966
2118,2166,1424
936,2118,1424
2118,936,1966
2779,2778,2070
432,2449,1280
1846,432,1280
2436,405,2089
405,581,2089
405,1650,1220
581,405,1220
2459,581,1220
581,2459,393
180,2459,1220
2459,180,393
1569,1550,1829
1596,771,1102
326,1596,793
2021,493,1845
1683,1630,1117
1630,1683,966
1422,180,1220
1422,1454,935
1190,2075,622
805,572,376
1253,572,805
1140,1253,622
500,2214,2004
2214,500,2369
50,500,935
2369,500,50
1213,500,2004
1714,1683,1280
2449,1714,1280
1528,1714,2449
1714,720,1683
720,1714,1528
699,697,143
720,697,699
143,697,2158
697,1528,2158
697,720,1528
1574,988,966
535,807,118
2570,468,2569
2465,468,2570
2569,468,2568
271,2465,2570
2465,271,353
271,2570,2571
444,271,2571
271,444,353
1408,2217,2200
